ID,Type,Description,Probability_1_5,Impact_1_5,Score,Owner,Response,Trigger,Closeout_status
R-001,Risk,Passenger enters a room during robot operation,2,5,10,Airport Project Manager,Physical closure occupancy check audible notice and immediate stop,Door or occupancy state changes,Closed after 60 witnessed tests
R-002,Risk,Robot encounters sharps blood vomit or unknown material,4,5,20,Airport Safety,Stop isolate image only within privacy rule and dispatch trained human specialist,Exception classifier or operator observation,Transferred to airport exposure-control procedure
R-003,Risk,Wrong chemical or insufficient wet contact time defeats the approved process,3,5,15,Custodial Quality,Locked approved-product list labeled cartridges Safety Data Sheet and timed dwell,Product mismatch low volume or premature wipe,Closed in pilot; ongoing audit
R-004,Risk,Slip hazard remains after cleaning,3,4,12,Seller Project Manager,Moisture check warning sign inspection and human reopening authority,Floor moisture above threshold,Closed after recovery tests
R-005,Risk,Camera or telemetry captures data beyond approved purpose,2,4,8,Airport Cybersecurity and Privacy,Room-closed operation privacy mask least privilege short retention and access logs,Unapproved frame access or retention,Closed; quarterly review
R-006,Risk,Robot or dock blocks an accessible route,2,5,10,Airport Project Manager,Marked parking envelope egress measurement and daily inspection,Clearance below approved minimum,Closed
R-007,Risk,Support delay leaves a restroom closed,3,4,12,Seller Project Manager,Two-robot coverage manual fallback spare kit and severity targets,Fault exceeds 15 minutes,Transferred to operations
R-008,Risk,Pilot results are generalized beyond the four approved rooms,3,4,12,Integrated Program Manager,Explicit scope statement change control and separate expansion gate,Request for new room task chemical or public co-occupancy,Open control
A-001,Assumption,Four restrooms represent the selected terminal room types,,,0,Airport Project Manager,Validate dimensions traffic fixtures and wireless conditions before scale,Material mismatch found,Validated for pilot only
A-002,Assumption,Loaded custodial rate is $31.50 per hour,,,0,Airport Finance,Replace with actual payroll or contract data,Finance review,Open before expansion
D-001,Dependency,Manufacturer maintains the approved pilot software and spare availability,,,0,Manufacturer Project Manager,Release freeze spare kit and escalation path,Unsupported version or part,Transferred to support
I-001,Issue,First-pass mirror inspection failed during week 22,5,3,15,Manufacturer Project Manager,Adjusted wiping path and retrained inspection model,Three failures in ten samples,Closed week 23

